冉有	350205199507127582	哈尔滨市南岗区松花江街139号	9958	230103199507129347	3
景兴绍	350205199507128921	哈尔滨市南岗区学府三道街27号	6002	450302198712188195	9
郭恒月	350205199507128366	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	10708	513436200003189273	9
路言良	350205199507129908	哈尔滨市道里区抚利街与抚顺街交会处	10127	410303198712188899	4
谈怡奇	350205199507126387	哈尔滨市南岗区松花江街139号	5885	42050519910712845X	6
周淑言	350205199507128104	顾新路396号	8912	410303198712187650	2
闻莲谦	350205199507127101	哈尔滨市道里区顾新路295号	2850	350205199507128921	1
荆和炎	42050519910712845X	大民兴街9号	7373	230103199507129347	2
伊芬	420505199107129292	哈尔滨市道里区河松街219号	1770	230103199507128483	6
穆贞	420505199107127078	大民兴街9号	3280	410303198712187415	4
江瑞	420505199107127334	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	9506	450302198712188558	9
葛邦泰	420505199107127414	黑龙江省哈尔滨市道里区安阳路1号	10311	230103199507129347	2
齐政策	420505199107129532	大民兴街9号	4284	410303198712188274	8
幸功	420505199107126550	南岗区北京街100号	2855	513436200003188916	2
沈羽	420505199107127393	哈尔滨市南岗区学府三道街27号	4216	450302198712189673	8
阮育轮	420505199107128097	顾新路396号	2233	230103199507128205	3
屈烟纨	420505199107128353	哈尔滨市道里区河松街219号	5780	230103199507126541	7
师强	420505199107128513	哈尔滨市道里区顾新路295号	4370	410303198712188477	5
杨以	420505199107127772	哈尔滨市南岗区学府三道街27号	10046	350205199507129908	2
屈广	310105199107127898	红领巾街02-2号	8080	35020519950712754X	4
封鸿馨	310105199107126377	顾新路396号	1443	450302198712188013	2
姜梅	310105199107128372	哈尔滨市道里区抚利街与抚顺街交会处	9256	41030319871218779X	6
欧胜	310105199107127732	哈尔滨市南岗区学府三道街27号	9070	350205199507128366	1
司马善	310105199107127599	哈尔滨市南岗区松花江街139号	3736	41030319871218779X	1
池恒	310105199107126756	红领巾街02-2号	7414	45030219871218889X	7
戴宏蝶	310105199107129279	南岗区北京街100号	2226	450302198712189032	2
申屠影	310105199107126510	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	10277	450302198712189032	8
马军	310105199107129914	黑龙江省哈尔滨市道里区安阳路1号	4475	513436200003187059	6
阙明韦	310105199107126537	哈尔滨市南岗区松花江街139号	2072	450302198712188558	5
孟祥霭	310105199107129439	红领巾街02-2号	1780	42050519910712845X	7
管聪宇	310105199107126131	南岗区北京街100号	3919	513436200003189492	9
禄艳珠	310105199107126115	大民兴街9号	8955	450302198712188013	3
桑锦唯	450302198712186632	哈尔滨市南岗区松花江街139号	8908	310105199107129914	6
唐玛	450302198712188734	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	3996	42050519910712845X	4
魏裕	450302198712187870	黑龙江省哈尔滨市道里区安阳路1号	6898	230103199507128205	6
姚咏咏	450302198712188013	南岗区北京街100号	10409	450302198712188558	8
惠红纨	450302198712188195	红领巾街02-2号	2990	310105199107129914	5
太叔滢	450302198712187539	哈尔滨市道里区河松街219号	5599	310105199107126510	8
沈真	45030219871218889X	哈尔滨市道里区顾新路295号	7057	513436200003189150	1
怀彦翰	450302198712187539	黑龙江省哈尔滨市道里区安阳路1号	9173	513436200003189273	6
仲孙言	450302198712186712	哈尔滨市道里区河松街219号	7150	230103199507126541	1
缪露	450302198712189673	红领巾街02-2号	6380	450302198712188734	8
雷致	450302198712189032	哈尔滨市南岗区松花江街139号	9798	350205199507129908	2
韩良俊	450302198712188873	哈尔滨市南岗区松花江街139号	2125	513436200003189150	4
童洋顺	450302198712188558	黑龙江省哈尔滨市道里区安阳路1号	4608	450302198712187539	1
路恒萍	410303198712188530	哈尔滨市南岗区松花江街139号	9393	350205199507129043	6
夏侯行	410303198712188477	顾新路396号	9844	450302198712188013	5
上官唯	410303198712187917	南岗区北京街100号	10922	310105199107127732	9
张红	410303198712187415	哈尔滨市道里区顾新路295号	3562	450302198712188195	6
苗栋发	410303198712187650	哈尔滨市南岗区学府三道街27号	4754	350205199507127101	7
易倩茗	410303198712189672	大民兴街9号	2784	450302198712188558	1
卓锦婕	410303198712189170	哈尔滨市道里区河松街219号	8477	513436200003189150	4
云彩弘	410303198712188899	哈尔滨市南岗区松花江街139号	1155	450302198712187870	3
邵顺	410303198712188274	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	1232	420505199107129532	5
秦瑶	410303198712187634	哈尔滨市道里区抚利街与抚顺街交会处	6499	410303198712189672	8
骆瑞	41030319871218605X	哈尔滨市道里区抚利街与抚顺街交会处	3249	420505199107128097	8
姚香	41030319871218779X	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	6045	450302198712189032	6
瞿泰承	410303198712186359	黑龙江省哈尔滨市南岗区和兴十一道街28-1号	4542	513436200003188297	8
